Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
64652274,04/15/2025 12:49:40 AM,,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11206,31 LEONARD STREET,LEONARD STREET,MOORE STREET,BOERUM STREET,MOORE STREET,BOERUM STREET,ADDRESS,BROOKLYN,LEONARD STREET,,In Progress,,,,01 BROOKLYN,3030770001,BROOKLYN,"999,205","195,869",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70427928492746,-73.94606204,"(40.70427928492746, -73.94606204457612)"
64651104,04/15/2025 12:49:34 AM,,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11208,148 GLEN STREET,GLEN STREET,CRESCENT STREET,AUTUMN AVENUE,CRESCENT STREET,AUTUMN AVENUE,ADDRESS,BROOKLYN,GLEN STREET,,In Progress,,,04/15/2025 01:49:41 AM,05 BROOKLYN,,BROOKLYN,"1,020,205","187,420",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68102834716706,-73.87036686,"(40.68102834716706, -73.8703668602956)"
64644904,04/15/2025 12:49:10 AM,,DSNY,Department of Sanitation,Dirty Condition,Trash,Street,10039,248 WEST  147 STREET,WEST  147 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  147 STREET,,In Progress,,,,10 MANHATTAN,,MANHATTAN,"1,000,838","239,394",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.823741223896725,-73.94006492,"(40.823741223896725, -73.94006492355682)"
64649816,04/15/2025 12:49:05 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10466,4231 SETON AVENUE,SETON AVENUE,BUSSING AVENUE,CITY LIMIT,BUSSING AVENUE,CITY LIMIT,ADDRESS,BRONX,SETON AVENUE,,In Progress,,,,12 BRONX,2050310022,BRONX,"1,028,663","265,957",PHONE,Unspecified,BRONX,,,,,,,,40.896552462373826,-73.83935292,"(40.896552462373826, -73.8393529239301)"
64645908,04/15/2025 12:48:17 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10460,795 GARDEN STREET,GARDEN STREET,PROSPECT AVENUE,CROTONA PARKWAY,PROSPECT AVENUE,CROTONA PARKWAY,ADDRESS,BRONX,GARDEN STREET,,In Progress,,,,06 BRONX,2031000001,BRONX,"1,016,573","248,707",PHONE,Unspecified,BRONX,,,,,,,,40.84925912491512,-73.88316704,"(40.84925912491512, -73.8831670426259)"
64652277,04/15/2025 12:48:15 AM,,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11208,146 GLEN STREET,GLEN STREET,CRESCENT STREET,AUTUMN AVENUE,CRESCENT STREET,AUTUMN AVENUE,ADDRESS,BROOKLYN,GLEN STREET,,In Progress,,,04/15/2025 01:47:01 AM,05 BROOKLYN,,BROOKLYN,"1,020,192","187,418",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681022910422826,-73.87041374,"(40.681022910422826, -73.87041374144984)"
64648292,04/15/2025 12:47:42 AM,,NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,,In Progress,,,04/15/2025 01:23:57 AM,Unspecified MANHATTAN,,MANHATTAN,"983,205","199,097",MOBILE,Unspecified,MANHATTAN,,,,6,,,Mezzanine,40.713151956527994,-74.00376949,"(40.713151956527994, -74.00376948598377)"
64649643,04/15/2025 12:46:46 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11233,2304 ATLANTIC AVENUE,ATLANTIC AVENUE,MONACO PLACE,EASTERN PARKWAY,MONACO PLACE,EASTERN PARKWAY,ADDRESS,BROOKLYN,ATLANTIC AVENUE,,In Progress,,,04/15/2025 01:15:13 AM,16 BROOKLYN,3014350034,BROOKLYN,"1,009,520","185,657",PHONE,Unspecified,BROOKLYN,,,,,,,,40.676226266517595,-73.90889743,"(40.676226266517595, -73.90889742840425)"
64651304,04/15/2025 12:46:19 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11375,108-19 63 ROAD,63 ROAD,108 STREET,110 STREET,108 STREET,110 STREET,ADDRESS,FOREST HILLS,63 ROAD,,In Progress,,,04/15/2025 01:12:41 AM,06 QUEENS,4021670057,QUEENS,"1,025,944","206,921",PHONE,Unspecified,QUEENS,,,,,,,,40.73452872887982,-73.8495546,"(40.73452872887982, -73.8495545966358)"
64652269,04/15/2025 12:44:53 AM,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,Other,10013,60 LAFAYETTE STREET,LAFAYETTE STREET,LEONARD STREET,FRANKLIN STREET,LEONARD STREET,FRANKLIN STREET,ADDRESS,NEW YORK,LAFAYETTE STREET,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",04/15/2025 02:35:38 AM,01 MANHATTAN,1001710031,MANHATTAN,"983,605","200,302",PHONE,Unspecified,MANHATTAN,,,,,,,,40.716459431762694,-74.00232674,"(40.716459431762694, -74.0023267359905)"
64650974,04/15/2025 12:44:30 AM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11103,44-10 30 AVENUE,30 AVENUE,44 STREET,45 STREET,44 STREET,45 STREET,ADDRESS,ASTORIA,30 AVENUE,,In Progress,,,,01 QUEENS,4007130084,QUEENS,"1,008,732","217,015",MOBILE,Unspecified,QUEENS,,,,,,,,40.76229859,-73.91162424,"(40.7622985940289, -73.91162424255285)"
64645131,04/15/2025 12:44:21 AM,,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11228,1279 85 STREET,85 STREET,12 AVENUE,13 AVENUE,12 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,85 STREET,,In Progress,,,04/15/2025 01:13:49 AM,10 BROOKLYN,3063210047,BROOKLYN,"980,384","163,361",ONLINE,Unspecified,BROOKLYN,SUV,,,,,,,40.61506378478073,-74.0139248,"(40.61506378478073, -74.01392480310399)"
64649673,04/15/2025 12:43:10 AM,,DSNY,Department of Sanitation,Dirty Condition,Trash,Alley,11418,134-16 91 AVENUE,91 AVENUE,134 STREET,135 STREET,134 STREET,135 STREET,ADDRESS,RICHMOND HILL,91 AVENUE,,In Progress,,,,09 QUEENS,4093750160,QUEENS,"1,035,203","194,052",ONLINE,Unspecified,QUEENS,,,,,,,,40.69915799356095,-73.81624264,"(40.69915799356095, -73.8162426367228)"
64650879,04/15/2025 12:42:37 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11429,99-36 213 STREET,213 STREET,99 AVENUE,102 AVENUE,99 AVENUE,102 AVENUE,ADDRESS,QUEENS VILLAGE,213 STREET,,In Progress,,,04/15/2025 12:56:08 AM,13 QUEENS,4110850049,QUEENS,"1,054,812","199,556",ONLINE,Unspecified,QUEENS,,,,,,,,40.714130479918126,-73.74546723,"(40.714130479918126, -73.74546722581421)"
64650801,04/15/2025 12:41:42 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10032,664 WEST  163 STREET,WEST  163 STREET,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  163 STREET,,In Progress,,,04/15/2025 12:59:41 AM,12 MANHATTAN,1021360220,MANHATTAN,"999,572","244,892",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.83883394,-73.94462662,"(40.8388339391976, -73.9446266237212)"
64648411,04/15/2025 12:41:37 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10019,326 WEST   49 STREET,WEST   49 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   49 STREET,,In Progress,,,04/15/2025 01:11:04 AM,04 MANHATTAN,1010390049,MANHATTAN,"987,620","216,962",PHONE,Unspecified,MANHATTAN,,,,,,,,40.76218637738536,-73.98783491,"(40.76218637738536, -73.98783490927008)"
64647314,04/15/2025 12:41:10 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11694,122-20 OCEAN PROMENADE,OCEAN PROMENADE,BEACH  122 STREET,BEACH  123 STREET,BEACH  122 STREET,BEACH  123 STREET,ADDRESS,FAR ROCKAWAY,OCEAN PROMENADE,,In Progress,,,04/15/2025 01:39:10 AM,14 QUEENS,4162320045,QUEENS,"1,028,372","149,100",PHONE,Unspecified,QUEENS,,,,,,,,40.57581126369034,-73.8411719,"(40.57581126369034, -73.84117190028296)"
64648035,04/15/2025 12:40:46 AM,,DOT,Department of Transportation,Street Condition,Pothole,,10468,EAST KINGSBRIDGE ROAD,EAST KINGSBRIDGE ROAD,CRESTON AVENUE,GRAND CONCOURSE,,,BLOCKFACE,BRONX,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,04/15/2025 12:40:46 AM,07 BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,,,,,,
64650929,04/15/2025 12:40:39 AM,,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11208,3221 FULTON STREET,FULTON STREET,RICHMOND STREET,CHESTNUT STREET,RICHMOND STREET,CHESTNUT STREET,ADDRESS,BROOKLYN,FULTON STREET,,In Progress,,,,05 BROOKLYN,3041270060,BROOKLYN,"1,018,603","187,967",PHONE,Unspecified,BROOKLYN,,,,,,,,40.682536098518554,-73.87613996,"(40.682536098518554, -73.87613995841303)"
64649793,04/15/2025 12:40:05 AM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11103,42-06 30 AVENUE,30 AVENUE,42 STREET,43 STREET,42 STREET,43 STREET,ADDRESS,ASTORIA,30 AVENUE,,In Progress,,,,01 QUEENS,4006960037,QUEENS,"1,008,282","217,292",MOBILE,Unspecified,QUEENS,,,,,,,,40.763060122020654,-73.91324767,"(40.763060122020654, -73.91324767285452)"
64648490,04/15/2025 12:39:27 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10039,192 BRADHURST AVENUE,BRADHURST AVENUE,WEST  151 STREET,WEST  152 STREET,WEST  151 STREET,WEST  152 STREET,ADDRESS,NEW YORK,BRADHURST AVENUE,,In Progress,,,,10 MANHATTAN,1020460024,MANHATTAN,"1,000,838","240,627",PHONE,Unspecified,MANHATTAN,,,,,,,,40.82712545743709,-73.94006188,"(40.82712545743709, -73.94006187522089)"
64647192,04/15/2025 12:37:26 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11212,9720 KINGS HIGHWAY,KINGS HIGHWAY,ROCKAWAY PARKWAY,CLARKSON AVENUE,ROCKAWAY PARKWAY,CLARKSON AVENUE,ADDRESS,BROOKLYN,KINGS HIGHWAY,,In Progress,,,,17 BROOKLYN,3046527501,BROOKLYN,"1,006,537","180,198",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66125055,-73.91966968,"(40.6612505483198, -73.91966968324185)"
64643722,04/15/2025 12:37:21 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10002,95 LUDLOW STREET,LUDLOW STREET,BROOME STREET,DELANCEY STREET,BROOME STREET,DELANCEY STREET,ADDRESS,NEW YORK,LUDLOW STREET,,In Progress,,,04/15/2025 01:31:49 AM,03 MANHATTAN,1004090017,MANHATTAN,"987,254","201,053",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71852026004938,-73.98916321,"(40.71852026004938, -73.98916320767069)"
64644773,04/15/2025 12:37:18 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11414,160-39 96 STREET,96 STREET,160 AVENUE,161 AVENUE,160 AVENUE,161 AVENUE,ADDRESS,HOWARD BEACH,96 STREET,,In Progress,,,04/15/2025 01:44:24 AM,10 QUEENS,4141860042,QUEENS,"1,029,630","178,757",PHONE,Unspecified,QUEENS,,,,,,,,40.65720709,-73.8364441,"(40.6572070859321, -73.83644409619929)"
64648407,04/15/2025 12:37:08 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11104,43-06 46 STREET,46 STREET,43 AVENUE,QUEENS BOULEVARD,43 AVENUE,QUEENS BOULEVARD,ADDRESS,SUNNYSIDE,46 STREET,,In Progress,,,,02 QUEENS,4001600029,QUEENS,"1,006,855","210,565",MOBILE,Unspecified,QUEENS,,,,,,,,40.744599986464074,-73.91842157,"(40.744599986464074, -73.9184215652402)"
64652025,04/15/2025 12:36:29 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11217,250 ASHLAND PLACE,ASHLAND PLACE,FULTON STREET,LAFAYETTE AVENUE,FULTON STREET,LAFAYETTE AVENUE,ADDRESS,BROOKLYN,ASHLAND PLACE,,In Progress,,,04/15/2025 12:58:11 AM,02 BROOKLYN,3021077501,BROOKLYN,"990,258","189,833",PHONE,Unspecified,BROOKLYN,,,,,,,,40.687722465479396,-73.97833643,"(40.687722465479396, -73.97833642565753)"
64647159,04/15/2025 12:35:57 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11421,86-38 77 STREET,77 STREET,DEAD END,JAMAICA AVENUE,DEAD END,JAMAICA AVENUE,ADDRESS,WOODHAVEN,77 STREET,,In Progress,,,,09 QUEENS,4088400142,QUEENS,"1,021,684","191,506",ONLINE,Unspecified,QUEENS,,,,,,,,40.692237336838694,-73.86501174,"(40.692237336838694, -73.86501173974102)"
64646118,04/15/2025 12:35:48 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11421,77-05 JAMAICA AVENUE,JAMAICA AVENUE,77 STREET,78 STREET,77 STREET,78 STREET,ADDRESS,WOODHAVEN,JAMAICA AVENUE,,In Progress,,,,09 QUEENS,4088410150,QUEENS,"1,021,790","191,325",ONLINE,Unspecified,QUEENS,,,,,,,,40.69174008523597,-73.86463051,"(40.69174008523597, -73.86463050943661)"
64644817,04/15/2025 12:35:42 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11212,429 DUMONT AVENUE,DUMONT AVENUE,MOTHER GASTON BOULEVARD,POWELL STREET,MOTHER GASTON BOULEVARD,POWELL STREET,ADDRESS,BROOKLYN,DUMONT AVENUE,,In Progress,,,04/15/2025 01:03:26 AM,16 BROOKLYN,3037770001,BROOKLYN,"1,011,074","181,568",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.664998310546395,-73.90331127,"(40.664998310546395, -73.90331127472045)"
64647154,04/15/2025 12:35:35 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11421,85-65 DEXTER COURT,DEXTER COURT,85 DRIVE,86 ROAD,85 DRIVE,86 ROAD,ADDRESS,WOODHAVEN,DEXTER COURT,,In Progress,,,,09 QUEENS,4088360015,QUEENS,"1,020,810","191,817",ONLINE,Unspecified,QUEENS,,,,,,,,40.69309461261273,-73.86816172,"(40.69309461261273, -73.8681617203779)"
64648464,04/15/2025 12:35:33 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11421,74-24 85 DRIVE,85 DRIVE,DEXTER COURT,75 STREET,DEXTER COURT,75 STREET,ADDRESS,WOODHAVEN,85 DRIVE,,In Progress,,,,09 QUEENS,4088360040,QUEENS,"1,020,875","191,909",ONLINE,Unspecified,QUEENS,,,,,,,,40.693346862291136,-73.86792683,"(40.693346862291136, -73.86792682533812)"
64647298,04/15/2025 12:35:13 AM,,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10465,1127 CALHOUN AVENUE,CALHOUN AVENUE,BRUCKNER BOULEVARD,DEAD END,BRUCKNER BOULEVARD,DEAD END,ADDRESS,BRONX,CALHOUN AVENUE,,In Progress,,,,10 BRONX,2053060087,BRONX,"1,031,199","242,783",MOBILE,Unspecified,BRONX,Car,,,,,,,40.83293384723373,-73.83034228,"(40.83293384723373, -73.83034228201015)"
64648368,04/15/2025 12:35:12 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11416,86-11 97 AVENUE,97 AVENUE,86 STREET,87 STREET,86 STREET,87 STREET,ADDRESS,OZONE PARK,97 AVENUE,,In Progress,,,04/15/2025 02:36:36 AM,09 QUEENS,4090220027,QUEENS,"1,024,657","188,448",MOBILE,Unspecified,QUEENS,,,,,,,,40.68383076601901,-73.85430936,"(40.68383076601901, -73.85430936138575)"
64644795,04/15/2025 12:34:56 AM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11103,42-02 30 AVENUE,30 AVENUE,42 STREET,43 STREET,42 STREET,43 STREET,ADDRESS,ASTORIA,30 AVENUE,,In Progress,,,,01 QUEENS,4006960037,QUEENS,"1,008,276","217,296",MOBILE,Unspecified,QUEENS,,,,,,,,40.76307111729268,-73.91326932,"(40.76307111729268, -73.91326931774661)"
64644091,04/15/2025 12:34:33 AM,04/15/2025 12:40:46 AM,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,Residential Building/House,11212,165 ROCKAWAY PARKWAY,ROCKAWAY PARKWAY,WINTHROP STREET,CLARKSON AVENUE,WINTHROP STREET,CLARKSON AVENUE,ADDRESS,BROOKLYN,ROCKAWAY PARKWAY,,Closed,,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",04/15/2025 12:40:46 AM,17 BROOKLYN,3046330001,BROOKLYN,"1,005,986","180,655",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.662506281653165,-73.92165421,"(40.662506281653165, -73.92165420995485)"
64643712,04/15/2025 12:34:18 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11224,2938 WEST   16 STREET,WEST   16 STREET,MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,ADDRESS,BROOKLYN,WEST   16 STREET,,In Progress,,,04/15/2025 01:09:32 AM,13 BROOKLYN,3070627501,BROOKLYN,"988,806","149,195",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.57618064208826,-73.98359946,"(40.57618064208826, -73.98359946439774)"
64650806,04/15/2025 12:33:52 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026,2171 FREDERICK DOUGLASS BOULEVARD,FREDERICK DOUGLASS BOULEVARD,WEST  117 STREET,WEST  118 STREET,WEST  117 STREET,WEST  118 STREET,ADDRESS,NEW YORK,8 AVENUE,,In Progress,,,04/15/2025 12:54:05 AM,10 MANHATTAN,1019440029,MANHATTAN,"996,759","232,635",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.80519637861651,-73.95481559,"(40.80519637861651, -73.95481559185063)"
64652347,04/15/2025 12:33:36 AM,04/15/2025 12:40:50 AM,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11432,80-22 PARSONS BOULEVARD,PARSONS BOULEVARD,UNION TURNPIKE,GOETHALS AVENUE,UNION TURNPIKE,GOETHALS AVENUE,ADDRESS,JAMAICA,PARSONS BOULEVARD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/15/2025 12:40:55 AM,08 QUEENS,4067130041,QUEENS,"1,037,220","201,441",ONLINE,Unspecified,QUEENS,,,,,,,,40.719427155762915,-73.8089104,"(40.719427155762915, -73.80891040133702)"
64644094,04/15/2025 12:33:30 AM,04/15/2025 12:40:33 AM,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11432,80-22 PARSONS BOULEVARD,PARSONS BOULEVARD,UNION TURNPIKE,GOETHALS AVENUE,UNION TURNPIKE,GOETHALS AVENUE,ADDRESS,JAMAICA,PARSONS BOULEVARD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/15/2025 12:40:38 AM,08 QUEENS,4067130041,QUEENS,"1,037,220","201,441",ONLINE,Unspecified,QUEENS,,,,,,,,40.719427155762915,-73.8089104,"(40.719427155762915, -73.80891040133702)"
64649817,04/15/2025 12:33:23 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10029,160 EAST  116 STREET,EAST  116 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST  116 STREET,,In Progress,,,04/15/2025 01:24:34 AM,11 MANHATTAN,1016430048,MANHATTAN,"1,000,578","230,147",ONLINE,Unspecified,MANHATTAN,Truck,,,,,,,40.798361269215164,-73.94102684,"(40.798361269215164, -73.94102683776387)"
64644999,04/15/2025 12:33:23 AM,,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,11360,212-00 23 AVENUE,23 AVENUE,212 STREET,213 PLACE,212 STREET,213 PLACE,ADDRESS,BAYSIDE,23 AVENUE,,In Progress,,,,07 QUEENS,4059000050,QUEENS,"1,045,701","224,057",ONLINE,Unspecified,QUEENS,,,,,,,,40.78144732,-73.7781086,"(40.7814473178555, -73.77810859631401)"
